User_Name,1/25/2022,1/27/2022,2/1/2022,2/10/2022,2/15/2022,2/17/2022,2/22/2022,2/24/2022,2/8/2022,3/1/2022,3/10/2022,3/22/2022,3/3/2022,3/8/2022,Absences
monica rambeau,84.0,94.0,76.0,82.0,83.0,66.0,81.0,74.0,82.0,88.0,84.0,78.0,73.0,78.0,0
namor mckenzie,85.0,22.0,79.0,78.0,81.0,81.0,83.0,78.0,87.0,83.0,85.0,88.0,66.0,88.0,0
natalia alianovna romanova,93.0,83.0,94.0,91.0,87.0,91.0,92.0,86.0,78.0,96.0,94.0,104.0,87.0,89.0,0
nicholette gold,79.0,75.0,70.0,43.0,72.0,68.0,,67.0,73.0,70.0,70.0,69.0,70.0,83.0,1
patsy walker,117.0,109.0,119.0,113.0,107.0,108.0,109.0,105.0,113.0,108.0,102.0,117.0,104.0,107.0,0
peter benjamin parker,75.0,54.0,63.0,,83.0,74.0,78.0,74.0,80.0,70.0,59.0,72.0,45.0,76.0,1
phillip javert,77.0,75.0,69.0,73.0,78.0,78.0,79.0,75.0,102.0,83.0,,77.0,68.0,108.0,1
pietro maximoff,76.0,74.0,77.0,70.0,73.0,74.0,75.0,70.0,72.0,71.0,70.0,79.0,68.0,71.0,0
ravonna lexus renslayer,78.0,76.0,73.0,75.0,78.0,78.0,79.0,69.0,81.0,75.0,74.0,77.0,73.0,77.0,0
reed richards,108.0,71.0,76.0,62.0,84.0,71.0,80.0,75.0,78.0,79.0,76.0,77.0,66.0,61.0,0
richard milhouse jones,78.0,73.0,79.0,73.0,89.0,76.0,77.0,74.0,91.0,79.0,79.0,74.0,97.0,81.0,0
rita demara,77.0,74.0,80.0,74.0,81.0,79.0,77.0,72.0,14.0,76.0,58.0,76.0,71.0,57.0,0
robert bruce banner,99.0,104.0,72.0,75.0,77.0,77.0,77.0,72.0,106.0,78.0,77.0,77.0,73.0,66.0,0
robert l. frank sr.,79.0,76.0,13.0,78.0,81.0,77.0,91.0,77.0,75.0,61.0,85.0,64.0,67.0,81.0,0
samuel thomas wilson,80.0,78.0,81.0,77.0,75.0,81.0,78.0,76.0,79.0,77.0,83.0,78.0,76.0,80.0,0
scott edward harris lang,79.0,78.0,76.0,77.0,82.0,84.0,80.0,76.0,90.0,79.0,85.0,82.0,77.0,79.0,0
simon williams,79.0,5.0,85.0,,,,,,,,,,,31.0,10
stakar,82.0,78.0,76.0,78.0,,81.0,86.0,78.0,84.0,91.0,85.0,85.0,79.0,85.0,1
steven rogers,79.0,81.0,79.0,78.0,82.0,77.0,84.0,78.0,83.0,83.0,78.0,78.0,70.0,71.0,0
susan richards,76.0,72.0,69.0,76.0,78.0,76.0,,75.0,83.0,78.0,79.0,77.0,74.0,81.0,1
t'challa,74.0,75.0,78.0,76.0,81.0,77.0,78.0,,80.0,77.0,,78.0,73.0,79.0,2
thor odinson,76.0,80.0,72.0,76.0,78.0,77.0,78.0,,80.0,79.0,80.0,77.0,73.0,78.0,1
val ventura,87.0,73.0,69.0,74.0,86.0,72.0,89.0,77.0,79.0,79.0,80.0,84.0,74.0,82.0,0
vance astrovik,159.0,146.0,147.0,151.0,160.0,152.0,151.0,148.0,158.0,154.0,138.0,106.0,144.0,98.0,0
veranke,77.0,,70.0,73.0,76.0,75.0,76.0,,79.0,73.0,79.0,36.0,70.0,45.0,2
victor shade,,,,,,,,,,,,79.0,,,13
wade wilson,78.0,74.0,80.0,76.0,78.0,77.0,64.0,76.0,81.0,84.0,81.0,76.0,75.0,66.0,0
walter newell,79.0,76.0,76.0,78.0,80.0,77.0,80.0,78.0,81.0,80.0,82.0,82.0,76.0,81.0,0
wanda maximoff,,24.0,33.0,,,28.0,23.0,23.0,20.0,22.0,,1.0,,,6
wendell elvis vaughn,64.0,57.0,34.0,,73.0,54.0,66.0,56.0,58.0,70.0,,66.0,38.0,64.0,2
william baker,,83.0,,,,,,,,,,,,,13
x-51,81.0,77.0,79.0,78.0,69.0,76.0,89.0,75.0,83.0,89.0,83.0,82.0,75.0,86.0,0
yondu udonta,84.0,71.0,73.0,79.0,20.0,61.0,79.0,73.0,75.0,89.0,75.0,48.0,31.0,84.0,0
