User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
benjamin jacob grimm,3/8/2022 10:40,3/8/2022 12:15,96,
phillip javert,3/8/2022 10:44,3/8/2022 10:56,13,
eric kevin masterson,3/8/2022 10:46,3/8/2022 11:57,72,
namor mckenzie,3/8/2022 10:46,3/8/2022 12:14,88,
natalia alianovna romanova,3/8/2022 10:46,3/8/2022 12:15,89,
"anthony edward ""tony"" stark",3/8/2022 10:46,3/8/2022 11:57,71,
janet van dyne,3/8/2022 10:47,3/8/2022 12:15,89,
x-51,3/8/2022 10:48,3/8/2022 12:13,86,
anthony edward stark,3/8/2022 10:48,3/8/2022 12:16,88,
maria de guadalupe santiago,3/8/2022 10:48,3/8/2022 12:15,88,
james r. rhodes,3/8/2022 10:48,3/8/2022 11:55,67,
ashley crawford,3/8/2022 10:49,3/8/2022 11:42,54,
stakar,3/8/2022 10:50,3/8/2022 12:14,85,
julia carpenter,3/8/2022 10:50,3/8/2022 12:16,87,
jennifer walters,3/8/2022 10:51,3/8/2022 11:58,68,
john f. walker,3/8/2022 10:51,3/8/2022 12:16,85,
patsy walker,3/8/2022 10:51,3/8/2022 12:38,107,
richard milhouse jones,3/8/2022 10:52,3/8/2022 12:12,81,
rita demara,3/8/2022 10:52,3/8/2022 11:49,57,
nicholette gold,3/8/2022 10:52,3/8/2022 12:15,83,
monica rambeau,3/8/2022 10:52,3/8/2022 12:10,78,
jonathan hart,3/8/2022 10:53,3/8/2022 12:38,106,
yondu udonta,3/8/2022 10:53,3/8/2022 12:16,84,
angelica jones,3/8/2022 10:53,3/8/2022 12:15,83,
kelsey leigh shorr,3/8/2022 10:53,3/8/2022 10:54,1,
val ventura,3/8/2022 10:54,3/8/2022 12:15,82,
jacques duquesne,3/8/2022 10:54,3/8/2022 12:15,82,
demarr davis,3/8/2022 10:54,3/8/2022 12:05,71,
steven rogers,3/8/2022 10:54,3/8/2022 12:05,71,
susan richards,3/8/2022 10:54,3/8/2022 12:15,81,
barbara barton,3/8/2022 10:55,3/8/2022 12:14,80,
christopher powell,3/8/2022 10:55,3/8/2022 12:03,69,
marrina smallwood,3/8/2022 10:55,3/8/2022 12:01,67,
robert l. frank sr.,3/8/2022 10:55,3/8/2022 12:15,81,
walter newell,3/8/2022 10:55,3/8/2022 12:15,81,
matthew liebowitz,3/8/2022 10:55,3/8/2022 12:15,81,
greer grant nelson,3/8/2022 10:55,3/8/2022 12:16,81,
martinex t'naga,3/8/2022 10:56,3/8/2022 12:16,81,
henry p. mccoy,3/8/2022 10:56,3/8/2022 12:11,76,
phillip javert,3/8/2022 10:56,3/8/2022 11:02,6,
