User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
natalia alianovna romanova,3/22/2022 10:32,3/22/2022 12:16,104,
maria de guadalupe santiago,3/22/2022 10:37,3/22/2022 12:15,99,
"anthony edward ""tony"" stark",3/22/2022 10:46,3/22/2022 12:15,90,
henry p. mccoy,3/22/2022 10:47,3/22/2022 12:15,89,
patsy walker,3/22/2022 10:48,3/22/2022 12:44,117,
namor mckenzie,3/22/2022 10:48,3/22/2022 12:16,88,
jim hammond,3/22/2022 10:49,3/22/2022 11:57,68,
stakar,3/22/2022 10:51,3/22/2022 12:15,85,
james r. rhodes,3/22/2022 10:52,3/22/2022 11:44,53,
heracles,3/22/2022 10:52,3/22/2022 12:16,84,
val ventura,3/22/2022 10:52,3/22/2022 12:16,84,
benjamin jacob grimm,3/22/2022 10:53,3/22/2022 12:15,83,
gene lorrene,3/22/2022 10:53,3/22/2022 10:55,2,
scott edward harris lang,3/22/2022 10:54,3/22/2022 12:16,82,
vance astrovik,3/22/2022 10:54,3/22/2022 11:28,34,
matthew liebowitz,3/22/2022 10:54,3/22/2022 11:14,20,
walter newell,3/22/2022 10:54,3/22/2022 12:16,82,
x-51,3/22/2022 10:55,3/22/2022 12:16,82,
charlie-27,3/22/2022 10:56,3/22/2022 12:02,67,
kelsey leigh shorr,3/22/2022 10:56,3/22/2022 12:15,80,
vance astrovik,3/22/2022 10:57,3/22/2022 12:08,72,
eric kevin masterson,3/22/2022 10:57,3/22/2022 12:00,64,
pietro maximoff,3/22/2022 10:57,3/22/2022 12:15,79,
angelica jones,3/22/2022 10:57,3/22/2022 12:15,79,
gene lorrene,3/22/2022 10:57,3/22/2022 11:08,12,
eros,3/22/2022 10:57,3/22/2022 12:15,79,
rita demara,3/22/2022 10:57,3/22/2022 12:13,76,
robert l. frank sr.,3/22/2022 10:57,3/22/2022 12:01,64,
moira brandon,3/22/2022 10:57,3/22/2022 12:15,79,
jacques duquesne,3/22/2022 10:58,3/22/2022 12:15,78,
victor shade,3/22/2022 10:58,3/22/2022 12:16,79,
jennifer walters,3/22/2022 10:58,3/22/2022 12:21,83,
monica rambeau,3/22/2022 10:58,3/22/2022 12:15,78,
samuel thomas wilson,3/22/2022 10:58,3/22/2022 12:15,78,
marrina smallwood,3/22/2022 10:58,3/22/2022 12:15,78,
carol susan jane danvers,3/22/2022 10:58,3/22/2022 12:16,79,
peter benjamin parker,3/22/2022 10:58,3/22/2022 12:09,72,
john f. walker,3/22/2022 10:58,3/22/2022 12:13,75,
dennis dunphy,3/22/2022 10:58,3/22/2022 12:14,76,
t'challa,3/22/2022 10:58,3/22/2022 12:15,78,
steven rogers,3/22/2022 10:58,3/22/2022 12:16,78,
miguel santos,3/22/2022 10:58,3/22/2022 12:10,72,
julia carpenter,3/22/2022 10:58,3/22/2022 12:17,79,
janet van dyne,3/22/2022 10:58,3/22/2022 11:22,24,
nicholette gold,3/22/2022 10:58,3/22/2022 12:07,69,
crystal amaquelin maximoff,3/22/2022 10:59,3/22/2022 11:05,7,
reed richards,3/22/2022 10:59,3/22/2022 12:15,77,
heather douglas,3/22/2022 10:59,3/22/2022 12:15,77,
thor odinson,3/22/2022 10:59,3/22/2022 12:15,77,
clinton francis barton,3/22/2022 10:59,3/22/2022 12:15,77,
phillip javert,3/22/2022 10:59,3/22/2022 12:16,77,
susan richards,3/22/2022 10:59,3/22/2022 12:15,77,
carl lucas,3/22/2022 10:59,3/22/2022 12:16,77,
yondu udonta,3/22/2022 10:59,3/22/2022 11:46,48,
circe,3/22/2022 11:00,3/22/2022 12:15,76,
demarr davis,3/22/2022 11:00,3/22/2022 12:13,74,
ravonna lexus renslayer,3/22/2022 11:00,3/22/2022 12:16,77,
robert bruce banner,3/22/2022 11:00,3/22/2022 12:16,77,
jocasta,3/22/2022 11:00,3/22/2022 12:13,73,
wade wilson,3/22/2022 11:00,3/22/2022 12:15,76,
barbara barton,3/22/2022 11:00,3/22/2022 12:15,76,
greer grant nelson,3/22/2022 11:00,3/22/2022 12:05,65,
martinex t'naga,3/22/2022 11:00,3/22/2022 12:15,76,
wendell elvis vaughn,3/22/2022 11:00,3/22/2022 12:06,66,
marc spector,3/22/2022 11:01,3/22/2022 12:15,75,
veranke,3/22/2022 11:01,3/22/2022 11:36,36,
brandt,3/22/2022 11:01,3/22/2022 12:15,75,
anthony ludgate druid,3/22/2022 11:01,3/22/2022 12:16,75,
christopher powell,3/22/2022 11:01,3/22/2022 12:16,75,
greg willis,3/22/2022 11:01,3/22/2022 12:16,75,
ashley crawford,3/22/2022 11:01,3/22/2022 11:06,5,
richard milhouse jones,3/22/2022 11:02,3/22/2022 12:15,74,
anthony edward stark,3/22/2022 11:02,3/22/2022 12:16,75,
"""giulietta nefaria""",3/22/2022 11:02,3/22/2022 12:15,73,
"henry jonathan ""hank"" pym",3/22/2022 11:03,3/22/2022 12:15,73,
gene lorrene,3/22/2022 11:10,3/22/2022 12:15,66,
matthew liebowitz,3/22/2022 11:14,3/22/2022 12:15,62,
janet van dyne,3/22/2022 11:22,3/22/2022 12:13,51,
jim hammond,3/22/2022 11:56,3/22/2022 12:15,20,
greer grant nelson,3/22/2022 12:06,3/22/2022 12:15,9,
wanda maximoff,3/22/2022 12:22,3/22/2022 12:22,1,
james r. rhodes,3/22/2022 11:46,3/22/2022 12:03,18,
charlie-27,3/22/2022 12:02,3/22/2022 12:15,14,
james r. rhodes,3/22/2022 12:04,3/22/2022 12:15,12,
