User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
natalia alianovna romanova,1/25/2022 10:44,1/25/2022 12:17,93,
janet van dyne,1/25/2022 10:45,1/25/2022 10:49,4,
benjamin jacob grimm,1/25/2022 10:46,1/25/2022 12:17,92,
janet van dyne,1/25/2022 10:49,1/25/2022 10:50,1,
val ventura,1/25/2022 10:50,1/25/2022 12:16,87,
maria de guadalupe santiago,1/25/2022 10:51,1/25/2022 10:56,5,
janet van dyne,1/25/2022 10:52,1/25/2022 10:54,2,
monica rambeau,1/25/2022 10:53,1/25/2022 12:17,84,
"anthony edward ""tony"" stark",1/25/2022 10:53,1/25/2022 12:17,84,
stakar,1/25/2022 10:55,1/25/2022 12:16,82,
jennifer walters,1/25/2022 10:55,1/25/2022 12:41,106,
matthew liebowitz,1/25/2022 10:55,1/25/2022 12:17,82,
heracles,1/25/2022 10:55,1/25/2022 12:17,82,
patsy walker,1/25/2022 10:56,1/25/2022 12:52,117,
x-51,1/25/2022 10:56,1/25/2022 12:16,81,
maria de guadalupe santiago,1/25/2022 10:56,1/25/2022 11:00,4,
vance astrovik,1/25/2022 10:56,1/25/2022 12:17,81,
henry p. mccoy,1/25/2022 10:57,1/25/2022 12:04,67,
samuel thomas wilson,1/25/2022 10:57,1/25/2022 12:17,80,
moira brandon,1/25/2022 10:57,1/25/2022 12:17,80,
robert l. frank sr.,1/25/2022 10:57,1/25/2022 12:16,79,
kelsey leigh shorr,1/25/2022 10:58,1/25/2022 12:52,115,
simon williams,1/25/2022 10:58,1/25/2022 12:16,79,
nicholette gold,1/25/2022 10:58,1/25/2022 12:16,79,
james r. rhodes,1/25/2022 10:58,1/25/2022 12:16,79,
bonita juarez,1/25/2022 10:58,1/25/2022 12:17,79,
eros,1/25/2022 10:58,1/25/2022 12:17,79,
doug taggert,1/25/2022 10:58,1/25/2022 12:17,79,
walter newell,1/25/2022 10:58,1/25/2022 12:17,79,
angelica jones,1/25/2022 10:59,1/25/2022 12:17,79,
martinex t'naga,1/25/2022 10:59,1/25/2022 12:17,78,
marrina smallwood,1/25/2022 10:59,1/25/2022 12:17,78,
wade wilson,1/25/2022 10:59,1/25/2022 12:16,78,
scott edward harris lang,1/25/2022 10:59,1/25/2022 12:18,79,
vance astrovik,1/25/2022 10:59,1/25/2022 12:17,78,
charlie-27,1/25/2022 10:59,1/25/2022 12:17,78,
miguel santos,1/25/2022 10:59,1/25/2022 12:17,78,
jocasta,1/25/2022 10:59,1/25/2022 12:31,93,
anthony edward stark,1/25/2022 10:59,1/25/2022 12:17,78,
barbara barton,1/25/2022 10:59,1/25/2022 12:17,78,
ravonna lexus renslayer,1/25/2022 10:59,1/25/2022 12:17,78,
christopher powell,1/25/2022 10:59,1/25/2022 12:17,79,
dane whitman,1/25/2022 11:00,1/25/2022 12:52,113,
heather douglas,1/25/2022 11:00,1/25/2022 12:17,78,
greg willis,1/25/2022 11:00,1/25/2022 12:17,78,
phillip javert,1/25/2022 11:00,1/25/2022 12:16,77,
ashley crawford,1/25/2022 11:00,1/25/2022 12:41,101,
rita demara,1/25/2022 11:00,1/25/2022 12:16,77,
pietro maximoff,1/25/2022 11:00,1/25/2022 12:15,76,
maria de guadalupe santiago,1/25/2022 11:00,1/25/2022 12:18,78,
veranke,1/25/2022 11:00,1/25/2022 12:16,77,
steven rogers,1/25/2022 11:00,1/25/2022 12:19,79,
namor mckenzie,1/25/2022 11:00,1/25/2022 12:25,85,
circe,1/25/2022 11:00,1/25/2022 12:17,77,
carl lucas,1/25/2022 11:01,1/25/2022 12:17,76,
dennis dunphy,1/25/2022 11:01,1/25/2022 12:16,76,
susan richards,1/25/2022 11:01,1/25/2022 12:17,76,
brandt,1/25/2022 11:01,1/25/2022 12:17,76,
thor odinson,1/25/2022 11:01,1/25/2022 12:17,76,
yondu udonta,1/25/2022 11:01,1/25/2022 12:24,84,
richard milhouse jones,1/25/2022 11:01,1/25/2022 12:18,78,
greer grant nelson,1/25/2022 11:01,1/25/2022 12:15,74,
mar-vell,1/25/2022 11:01,1/25/2022 12:17,76,
peter benjamin parker,1/25/2022 11:01,1/25/2022 12:16,75,
crystal amaquelin maximoff,1/25/2022 11:01,1/25/2022 12:16,75,
demarr davis,1/25/2022 11:01,1/25/2022 12:17,76,
marc spector,1/25/2022 11:01,1/25/2022 12:17,76,
"henry jonathan ""hank"" pym",1/25/2022 11:02,1/25/2022 12:17,76,
jacques duquesne,1/25/2022 11:02,1/25/2022 12:19,78,
janet van dyne,1/25/2022 11:02,1/25/2022 12:16,75,
robert bruce banner,1/25/2022 11:02,1/25/2022 12:41,99,
reed richards,1/25/2022 11:02,1/25/2022 12:50,108,
jim hammond,1/25/2022 11:02,1/25/2022 12:16,75,
t'challa,1/25/2022 11:03,1/25/2022 12:17,74,
"""giulietta nefaria""",1/25/2022 11:07,1/25/2022 12:16,69,
gene lorrene,1/25/2022 11:10,1/25/2022 12:17,67,
wendell elvis vaughn,1/25/2022 11:13,1/25/2022 12:16,64,
eric kevin masterson,1/25/2022 11:23,1/25/2022 12:18,56,
carol susan jane danvers,1/25/2022 11:31,1/25/2022 12:17,46,
henry p. mccoy,1/25/2022 12:07,1/25/2022 12:17,10,
julia carpenter,1/25/2022 10:54,1/25/2022 12:19,86,
