User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
benjamin jacob grimm,2/17/2022 10:39,2/17/2022 12:16,98,
natalia alianovna romanova,2/17/2022 10:45,2/17/2022 12:16,91,
"anthony edward ""tony"" stark",2/17/2022 10:46,2/17/2022 12:16,90,
maria de guadalupe santiago,2/17/2022 10:49,2/17/2022 12:16,88,
heracles,2/17/2022 10:50,2/17/2022 12:16,87,
john f. walker,2/17/2022 10:52,2/17/2022 12:15,84,
scott edward harris lang,2/17/2022 10:54,2/17/2022 11:15,21,
monica rambeau,2/17/2022 10:55,2/17/2022 12:00,66,
matthew liebowitz,2/17/2022 10:55,2/17/2022 12:16,81,
stakar,2/17/2022 10:55,2/17/2022 12:15,81,
samuel thomas wilson,2/17/2022 10:55,2/17/2022 12:16,81,
ashley crawford,2/17/2022 10:56,2/17/2022 12:16,81,
phillip javert,2/17/2022 10:56,2/17/2022 12:13,78,
namor mckenzie,2/17/2022 10:56,2/17/2022 12:16,81,
patsy walker,2/17/2022 10:56,2/17/2022 12:44,108,
pietro maximoff,2/17/2022 10:56,2/17/2022 12:10,74,
james r. rhodes,2/17/2022 10:57,2/17/2022 12:16,79,
rita demara,2/17/2022 10:57,2/17/2022 12:16,79,
marrina smallwood,2/17/2022 10:58,2/17/2022 12:16,79,
jennifer walters,2/17/2022 10:58,2/17/2022 12:33,95,
angelica jones,2/17/2022 10:58,2/17/2022 12:16,78,
charlie-27,2/17/2022 10:58,2/17/2022 12:16,78,
vance astrovik,2/17/2022 10:58,2/17/2022 12:16,78,
clinton francis barton,2/17/2022 10:58,2/17/2022 12:16,78,
peter benjamin parker,2/17/2022 10:58,2/17/2022 12:12,74,
ravonna lexus renslayer,2/17/2022 10:59,2/17/2022 12:16,78,
henry p. mccoy,2/17/2022 10:59,2/17/2022 12:15,77,
walter newell,2/17/2022 10:59,2/17/2022 12:16,77,
nicholette gold,2/17/2022 10:59,2/17/2022 12:07,68,
kelsey leigh shorr,2/17/2022 10:59,2/17/2022 12:17,79,
t'challa,2/17/2022 10:59,2/17/2022 12:16,77,
wade wilson,2/17/2022 10:59,2/17/2022 12:15,77,
robert l. frank sr.,2/17/2022 10:59,2/17/2022 12:16,77,
circe,2/17/2022 10:59,2/17/2022 12:16,77,
steven rogers,2/17/2022 10:59,2/17/2022 12:16,77,
thor odinson,2/17/2022 10:59,2/17/2022 12:16,77,
heather douglas,2/17/2022 10:59,2/17/2022 12:15,76,
martinex t'naga,2/17/2022 10:59,2/17/2022 12:16,77,
carl lucas,2/17/2022 11:00,2/17/2022 12:15,76,
eros,2/17/2022 11:00,2/17/2022 12:16,76,
x-51,2/17/2022 11:00,2/17/2022 12:16,76,
barbara barton,2/17/2022 11:00,2/17/2022 12:16,76,
susan richards,2/17/2022 11:00,2/17/2022 12:15,76,
jocasta,2/17/2022 11:00,2/17/2022 12:15,76,
robert bruce banner,2/17/2022 11:00,2/17/2022 12:16,77,
dane whitman,2/17/2022 11:01,2/17/2022 12:16,75,
eric kevin masterson,2/17/2022 11:01,2/17/2022 12:17,77,
dennis dunphy,2/17/2022 11:01,2/17/2022 12:15,74,
veranke,2/17/2022 11:01,2/17/2022 12:15,75,
jim hammond,2/17/2022 11:01,2/17/2022 12:15,75,
richard milhouse jones,2/17/2022 11:01,2/17/2022 11:30,29,
marc spector,2/17/2022 11:01,2/17/2022 12:15,75,
vance astrovik,2/17/2022 11:01,2/17/2022 12:14,74,
crystal amaquelin maximoff,2/17/2022 11:01,2/17/2022 12:05,64,
christopher powell,2/17/2022 11:02,2/17/2022 12:11,70,
craig hollis,2/17/2022 11:02,2/17/2022 11:07,6,
"""giulietta nefaria""",2/17/2022 11:02,2/17/2022 12:15,74,
moira brandon,2/17/2022 11:02,2/17/2022 11:40,39,
miguel santos,2/17/2022 11:02,2/17/2022 12:15,73,
demarr davis,2/17/2022 11:02,2/17/2022 12:16,74,
brandt,2/17/2022 11:03,2/17/2022 12:15,73,
carol susan jane danvers,2/17/2022 11:04,2/17/2022 12:15,72,
greer grant nelson,2/17/2022 11:04,2/17/2022 12:15,72,
val ventura,2/17/2022 11:04,2/17/2022 12:16,72,
reed richards,2/17/2022 11:05,2/17/2022 12:16,71,
greg willis,2/17/2022 11:05,2/17/2022 12:16,71,
gene lorrene,2/17/2022 11:06,2/17/2022 12:18,73,
julia carpenter,2/17/2022 11:07,2/17/2022 12:16,69,
craig hollis,2/17/2022 11:08,2/17/2022 12:15,68,
jacques duquesne,2/17/2022 11:11,2/17/2022 12:18,68,
scott edward harris lang,2/17/2022 11:14,2/17/2022 11:16,3,
yondu udonta,2/17/2022 11:16,2/17/2022 12:16,61,
scott edward harris lang,2/17/2022 11:16,2/17/2022 12:15,60,
"henry jonathan ""hank"" pym",2/17/2022 11:18,2/17/2022 12:16,58,
wendell elvis vaughn,2/17/2022 11:20,2/17/2022 12:14,54,
richard milhouse jones,2/17/2022 11:30,2/17/2022 12:16,47,
moira brandon,2/17/2022 11:41,2/17/2022 12:16,35,
crystal amaquelin maximoff,2/17/2022 12:07,2/17/2022 12:16,9,
wanda maximoff,2/17/2022 12:16,2/17/2022 12:44,28,
