User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
scott edward harris lang,2/8/2022 10:50,2/8/2022 12:19,90,
patsy walker,2/8/2022 10:51,2/8/2022 12:44,113,
namor mckenzie,2/8/2022 10:53,2/8/2022 12:19,87,
james r. rhodes,2/8/2022 10:53,2/8/2022 12:19,86,
eros,2/8/2022 10:54,2/8/2022 12:19,86,
henry p. mccoy,2/8/2022 10:54,2/8/2022 12:19,86,
matthew liebowitz,2/8/2022 10:54,2/8/2022 12:19,85,
bonita juarez,2/8/2022 10:54,2/8/2022 10:57,4,
stakar,2/8/2022 10:55,2/8/2022 12:19,84,
dorreen green,2/8/2022 10:55,2/8/2022 12:19,84,
vance astrovik,2/8/2022 10:56,2/8/2022 11:33,38,
steven rogers,2/8/2022 10:56,2/8/2022 12:19,83,
susan richards,2/8/2022 10:56,2/8/2022 12:19,83,
x-51,2/8/2022 10:56,2/8/2022 12:19,83,
janet van dyne,2/8/2022 10:57,2/8/2022 12:19,83,
clinton francis barton,2/8/2022 10:57,2/8/2022 12:19,83,
jennifer walters,2/8/2022 10:57,2/8/2022 12:44,108,
val ventura,2/8/2022 10:57,2/8/2022 12:16,79,
eric kevin masterson,2/8/2022 10:58,2/8/2022 12:20,83,
monica rambeau,2/8/2022 10:58,2/8/2022 12:01,63,
marrina smallwood,2/8/2022 10:58,2/8/2022 12:19,82,
benjamin jacob grimm,2/8/2022 10:58,2/8/2022 12:19,81,
vance astrovik,2/8/2022 10:58,2/8/2022 12:15,77,
greg willis,2/8/2022 10:58,2/8/2022 12:19,81,
walter newell,2/8/2022 10:58,2/8/2022 12:19,81,
bonita juarez,2/8/2022 10:58,2/8/2022 12:19,82,
richard milhouse jones,2/8/2022 10:58,2/8/2022 11:27,29,
ashley crawford,2/8/2022 10:58,2/8/2022 12:44,106,
heracles,2/8/2022 10:58,2/8/2022 11:24,26,
robert bruce banner,2/8/2022 10:58,2/8/2022 12:44,106,
greer grant nelson,2/8/2022 10:58,2/8/2022 12:16,78,
nicholette gold,2/8/2022 10:59,2/8/2022 12:11,73,
pietro maximoff,2/8/2022 10:59,2/8/2022 12:10,72,
rita demara,2/8/2022 10:59,2/8/2022 11:12,14,
martinex t'naga,2/8/2022 10:59,2/8/2022 12:19,81,
ravonna lexus renslayer,2/8/2022 10:59,2/8/2022 12:19,81,
kelsey leigh shorr,2/8/2022 10:59,2/8/2022 12:44,106,
heather douglas,2/8/2022 10:59,2/8/2022 12:19,80,
barbara barton,2/8/2022 10:59,2/8/2022 11:05,6,
angelica jones,2/8/2022 10:59,2/8/2022 12:19,80,
charlie-27,2/8/2022 10:59,2/8/2022 12:19,80,
peter benjamin parker,2/8/2022 10:59,2/8/2022 12:19,80,
dennis dunphy,2/8/2022 11:00,2/8/2022 12:19,79,
christopher powell,2/8/2022 11:00,2/8/2022 12:19,80,
thor odinson,2/8/2022 11:00,2/8/2022 12:19,80,
carl lucas,2/8/2022 11:00,2/8/2022 12:15,76,
jocasta,2/8/2022 11:00,2/8/2022 12:19,80,
t'challa,2/8/2022 11:00,2/8/2022 12:19,80,
craig hollis,2/8/2022 11:00,2/8/2022 11:23,23,
wade wilson,2/8/2022 11:00,2/8/2022 12:21,81,
veranke,2/8/2022 11:00,2/8/2022 12:19,79,
"anthony edward ""tony"" stark",2/8/2022 11:00,2/8/2022 12:19,80,
jacques duquesne,2/8/2022 11:00,2/8/2022 11:01,2,
crystal amaquelin maximoff,2/8/2022 11:00,2/8/2022 12:15,75,
robert l. frank sr.,2/8/2022 11:00,2/8/2022 12:15,75,
jim hammond,2/8/2022 11:00,2/8/2022 12:19,79,
samuel thomas wilson,2/8/2022 11:01,2/8/2022 12:19,79,
carol susan jane danvers,2/8/2022 11:01,2/8/2022 12:19,79,
marc spector,2/8/2022 11:01,2/8/2022 12:19,78,
natalia alianovna romanova,2/8/2022 11:01,2/8/2022 12:19,78,
maria de guadalupe santiago,2/8/2022 11:01,2/8/2022 12:19,79,
reed richards,2/8/2022 11:02,2/8/2022 12:19,78,
julia carpenter,2/8/2022 11:02,2/8/2022 12:15,74,
jacques duquesne,2/8/2022 11:02,2/8/2022 12:19,78,
moira brandon,2/8/2022 11:03,2/8/2022 12:05,63,
phillip javert,2/8/2022 11:03,2/8/2022 11:38,35,
brandt,2/8/2022 11:03,2/8/2022 12:13,70,
yondu udonta,2/8/2022 11:04,2/8/2022 12:19,75,
barbara barton,2/8/2022 11:05,2/8/2022 11:09,4,
gene lorrene,2/8/2022 11:05,2/8/2022 12:20,75,
circe,2/8/2022 11:05,2/8/2022 12:19,74,
anthony edward stark,2/8/2022 11:05,2/8/2022 12:19,74,
julia carpenter,2/8/2022 11:07,2/8/2022 11:07,1,
"henry jonathan ""hank"" pym",2/8/2022 11:07,2/8/2022 12:19,72,
barbara barton,2/8/2022 11:09,2/8/2022 12:19,70,
wendell elvis vaughn,2/8/2022 11:21,2/8/2022 12:18,58,
heracles,2/8/2022 11:25,2/8/2022 11:54,30,
richard milhouse jones,2/8/2022 11:27,2/8/2022 11:41,15,
vance astrovik,2/8/2022 11:33,2/8/2022 11:40,7,
phillip javert,2/8/2022 11:38,2/8/2022 12:44,67,
richard milhouse jones,2/8/2022 11:41,2/8/2022 12:28,47,
vance astrovik,2/8/2022 11:42,2/8/2022 11:46,5,
dane whitman,2/8/2022 11:47,2/8/2022 11:47,1,
