User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
natalia alianovna romanova,3/1/2022 10:41,3/1/2022 12:17,96,
stakar,3/1/2022 10:46,3/1/2022 12:17,91,
x-51,3/1/2022 10:46,3/1/2022 12:15,89,
monica rambeau,3/1/2022 10:50,3/1/2022 12:18,88,
angelica jones,3/1/2022 10:51,3/1/2022 12:16,85,
maria de guadalupe santiago,3/1/2022 10:52,3/1/2022 12:17,85,
wade wilson,3/1/2022 10:53,3/1/2022 12:17,84,
james r. rhodes,3/1/2022 10:53,3/1/2022 12:17,84,
matthew liebowitz,3/1/2022 10:54,3/1/2022 12:17,84,
john f. walker,3/1/2022 10:54,3/1/2022 12:13,80,
carl lucas,3/1/2022 10:54,3/1/2022 12:08,75,
phillip javert,3/1/2022 10:54,3/1/2022 12:17,83,
namor mckenzie,3/1/2022 10:54,3/1/2022 12:17,83,
"anthony edward ""tony"" stark",3/1/2022 10:54,3/1/2022 12:17,83,
janet van dyne,3/1/2022 10:55,3/1/2022 11:18,24,
patsy walker,3/1/2022 10:55,3/1/2022 12:42,108,
craig hollis,3/1/2022 10:56,3/1/2022 12:13,78,
eros,3/1/2022 10:56,3/1/2022 12:17,82,
julia carpenter,3/1/2022 10:56,3/1/2022 12:17,82,
jennifer walters,3/1/2022 10:56,3/1/2022 12:31,95,
ashley crawford,3/1/2022 10:56,3/1/2022 12:07,71,
jacques duquesne,3/1/2022 10:56,3/1/2022 12:21,85,
heracles,3/1/2022 10:56,3/1/2022 12:21,85,
charlie-27,3/1/2022 10:57,3/1/2022 12:17,81,
jim hammond,3/1/2022 10:57,3/1/2022 12:17,80,
walter newell,3/1/2022 10:57,3/1/2022 12:17,80,
carol susan jane danvers,3/1/2022 10:57,3/1/2022 12:17,81,
marrina smallwood,3/1/2022 10:57,3/1/2022 12:17,80,
gene lorrene,3/1/2022 10:57,3/1/2022 11:07,10,
doug taggert,3/1/2022 10:57,3/1/2022 11:59,62,
yondu udonta,3/1/2022 10:57,3/1/2022 12:26,89,
dane whitman,3/1/2022 10:57,3/1/2022 12:18,81,
benjamin jacob grimm,3/1/2022 10:58,3/1/2022 12:17,80,
steven rogers,3/1/2022 10:58,3/1/2022 12:20,83,
miguel santos,3/1/2022 10:58,3/1/2022 12:14,77,
eric kevin masterson,3/1/2022 10:58,3/1/2022 12:16,79,
dennis dunphy,3/1/2022 10:58,3/1/2022 12:16,78,
martinex t'naga,3/1/2022 10:58,3/1/2022 12:18,80,
nicholette gold,3/1/2022 10:58,3/1/2022 12:08,70,
heather douglas,3/1/2022 10:58,3/1/2022 12:17,79,
reed richards,3/1/2022 10:58,3/1/2022 12:16,79,
peter benjamin parker,3/1/2022 10:58,3/1/2022 12:07,70,
thor odinson,3/1/2022 10:58,3/1/2022 12:17,79,
val ventura,3/1/2022 10:58,3/1/2022 12:17,79,
clinton francis barton,3/1/2022 10:59,3/1/2022 12:14,76,
henry p. mccoy,3/1/2022 10:59,3/1/2022 12:14,76,
vance astrovik,3/1/2022 10:59,3/1/2022 12:13,75,
richard milhouse jones,3/1/2022 10:59,3/1/2022 12:17,79,
susan richards,3/1/2022 10:59,3/1/2022 12:17,78,
bonita juarez,3/1/2022 10:59,3/1/2022 12:16,78,
kelsey leigh shorr,3/1/2022 10:59,3/1/2022 12:42,104,
scott edward harris lang,3/1/2022 10:59,3/1/2022 12:18,79,
vance astrovik,3/1/2022 10:59,3/1/2022 12:17,79,
barbara barton,3/1/2022 10:59,3/1/2022 12:18,79,
moira brandon,3/1/2022 11:00,3/1/2022 12:18,79,
brandt,3/1/2022 11:00,3/1/2022 12:15,76,
pietro maximoff,3/1/2022 11:00,3/1/2022 12:10,71,
christopher powell,3/1/2022 11:00,3/1/2022 12:13,74,
anthony ludgate druid,3/1/2022 11:00,3/1/2022 12:17,78,
robert bruce banner,3/1/2022 11:00,3/1/2022 12:18,78,
jocasta,3/1/2022 11:00,3/1/2022 12:17,77,
demarr davis,3/1/2022 11:00,3/1/2022 11:09,9,
t'challa,3/1/2022 11:00,3/1/2022 12:17,77,
anthony edward stark,3/1/2022 11:00,3/1/2022 12:17,77,
samuel thomas wilson,3/1/2022 11:01,3/1/2022 12:17,77,
rita demara,3/1/2022 11:01,3/1/2022 12:16,76,
marc spector,3/1/2022 11:01,3/1/2022 12:17,77,
greg willis,3/1/2022 11:01,3/1/2022 12:17,77,
greer grant nelson,3/1/2022 11:01,3/1/2022 12:17,76,
circe,3/1/2022 11:01,3/1/2022 11:16,15,
"""giulietta nefaria""",3/1/2022 11:02,3/1/2022 12:10,69,
veranke,3/1/2022 11:02,3/1/2022 12:15,73,
wendell elvis vaughn,3/1/2022 11:03,3/1/2022 12:12,70,
"henry jonathan ""hank"" pym",3/1/2022 11:03,3/1/2022 12:17,75,
crystal amaquelin maximoff,3/1/2022 11:03,3/1/2022 12:07,65,
ravonna lexus renslayer,3/1/2022 11:03,3/1/2022 12:18,75,
robert l. frank sr.,3/1/2022 11:04,3/1/2022 12:05,61,
janet van dyne,3/1/2022 11:18,3/1/2022 11:45,27,
janet van dyne,3/1/2022 11:44,3/1/2022 12:17,33,
wanda maximoff,3/1/2022 12:20,3/1/2022 12:42,22,
