User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
natalia alianovna romanova,2/1/2022 10:37,2/1/2022 12:10,94,
janet van dyne,2/1/2022 10:45,2/1/2022 10:45,1,
simon williams,2/1/2022 10:45,2/1/2022 12:10,85,
james r. rhodes,2/1/2022 10:49,2/1/2022 12:10,82,
carol susan jane danvers,2/1/2022 10:49,2/1/2022 12:10,81,
janet van dyne,2/1/2022 10:50,2/1/2022 12:10,81,
jacques duquesne,2/1/2022 10:50,2/1/2022 12:11,82,
benjamin jacob grimm,2/1/2022 10:50,2/1/2022 12:10,81,
samuel thomas wilson,2/1/2022 10:50,2/1/2022 12:10,81,
rita demara,2/1/2022 10:51,2/1/2022 12:10,80,
kelsey leigh shorr,2/1/2022 10:51,2/1/2022 11:02,11,
patsy walker,2/1/2022 10:51,2/1/2022 12:49,119,
julia carpenter,2/1/2022 10:51,2/1/2022 12:10,80,
jim hammond,2/1/2022 10:51,2/1/2022 12:10,80,
john f. walker,2/1/2022 10:51,2/1/2022 11:15,24,
henry p. mccoy,2/1/2022 10:51,2/1/2022 12:10,79,
maria de guadalupe santiago,2/1/2022 10:52,2/1/2022 12:10,79,
jennifer walters,2/1/2022 10:52,2/1/2022 12:25,94,
namor mckenzie,2/1/2022 10:52,2/1/2022 12:11,79,
richard milhouse jones,2/1/2022 10:53,2/1/2022 10:59,7,
steven rogers,2/1/2022 10:53,2/1/2022 12:11,79,
doug taggert,2/1/2022 10:53,2/1/2022 12:05,73,
heracles,2/1/2022 10:53,2/1/2022 12:13,80,
anthony edward stark,2/1/2022 10:53,2/1/2022 12:10,77,
carl lucas,2/1/2022 10:54,2/1/2022 12:11,78,
reed richards,2/1/2022 10:54,2/1/2022 12:10,76,
clinton francis barton,2/1/2022 10:54,2/1/2022 12:10,76,
stakar,2/1/2022 10:54,2/1/2022 12:10,76,
pietro maximoff,2/1/2022 10:54,2/1/2022 11:17,23,
x-51,2/1/2022 10:54,2/1/2022 12:13,79,
gene lorrene,2/1/2022 10:54,2/1/2022 12:10,76,
monica rambeau,2/1/2022 10:55,2/1/2022 12:10,76,
matthew liebowitz,2/1/2022 10:55,2/1/2022 12:03,69,
t'challa,2/1/2022 10:55,2/1/2022 12:12,78,
scott edward harris lang,2/1/2022 10:55,2/1/2022 12:10,76,
walter newell,2/1/2022 10:55,2/1/2022 12:10,76,
eros,2/1/2022 10:55,2/1/2022 11:24,29,
angelica jones,2/1/2022 10:55,2/1/2022 12:11,76,
craig hollis,2/1/2022 10:56,2/1/2022 11:58,63,
greer grant nelson,2/1/2022 10:56,2/1/2022 12:10,75,
