User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
natalia alianovna romanova,3/3/2022 10:45,3/3/2022 12:12,87,
stakar,3/3/2022 10:52,3/3/2022 12:11,79,
kelsey leigh shorr,3/3/2022 10:53,3/3/2022 11:01,8,
eros,3/3/2022 10:54,3/3/2022 12:13,79,
carl lucas,3/3/2022 10:54,3/3/2022 12:12,78,
heracles,3/3/2022 10:55,3/3/2022 12:12,78,
benjamin jacob grimm,3/3/2022 10:55,3/3/2022 12:12,77,
henry p. mccoy,3/3/2022 10:56,3/3/2022 12:02,66,
james r. rhodes,3/3/2022 10:56,3/3/2022 12:11,75,
samuel thomas wilson,3/3/2022 10:56,3/3/2022 12:12,76,
vance astrovik,3/3/2022 10:56,3/3/2022 12:08,72,
"anthony edward ""tony"" stark",3/3/2022 10:56,3/3/2022 12:13,77,
bonita juarez,3/3/2022 10:57,3/3/2022 11:48,52,
patsy walker,3/3/2022 10:57,3/3/2022 12:40,104,
matthew liebowitz,3/3/2022 10:57,3/3/2022 11:00,3,
walter newell,3/3/2022 10:57,3/3/2022 12:12,76,
charlie-27,3/3/2022 10:57,3/3/2022 12:12,75,
jennifer walters,3/3/2022 10:57,3/3/2022 12:37,100,
doug taggert,3/3/2022 10:57,3/3/2022 11:24,27,
miguel santos,3/3/2022 10:58,3/3/2022 12:11,73,
scott edward harris lang,3/3/2022 10:58,3/3/2022 11:07,10,
yondu udonta,3/3/2022 10:58,3/3/2022 11:29,31,
wade wilson,3/3/2022 10:58,3/3/2022 12:13,75,
monica rambeau,3/3/2022 10:58,3/3/2022 11:03,5,
x-51,3/3/2022 10:58,3/3/2022 12:13,75,
robert l. frank sr.,3/3/2022 10:58,3/3/2022 12:05,67,
barbara barton,3/3/2022 10:59,3/3/2022 12:12,74,
nicholette gold,3/3/2022 10:59,3/3/2022 12:08,70,
val ventura,3/3/2022 10:59,3/3/2022 12:13,74,
maria de guadalupe santiago,3/3/2022 10:59,3/3/2022 12:12,74,
angelica jones,3/3/2022 10:59,3/3/2022 12:13,74,
martinex t'naga,3/3/2022 10:59,3/3/2022 12:12,74,
marrina smallwood,3/3/2022 10:59,3/3/2022 12:12,74,
eric kevin masterson,3/3/2022 10:59,3/3/2022 11:05,7,
susan richards,3/3/2022 10:59,3/3/2022 12:13,74,
crystal amaquelin maximoff,3/3/2022 10:59,3/3/2022 12:07,68,
moira brandon,3/3/2022 10:59,3/3/2022 12:12,73,
t'challa,3/3/2022 11:00,3/3/2022 12:12,73,
john f. walker,3/3/2022 11:00,3/3/2022 12:12,72,
greg willis,3/3/2022 11:00,3/3/2022 12:12,73,
robert bruce banner,3/3/2022 11:00,3/3/2022 12:12,73,
vance astrovik,3/3/2022 11:00,3/3/2022 11:22,22,
peter benjamin parker,3/3/2022 11:00,3/3/2022 11:45,45,
thor odinson,3/3/2022 11:00,3/3/2022 12:13,73,
dennis dunphy,3/3/2022 11:00,3/3/2022 12:11,71,
jocasta,3/3/2022 11:00,3/3/2022 12:12,72,
christopher powell,3/3/2022 11:01,3/3/2022 12:10,70,
ravonna lexus renslayer,3/3/2022 11:01,3/3/2022 12:13,73,
circe,3/3/2022 11:01,3/3/2022 12:13,72,
richard milhouse jones,3/3/2022 11:01,3/3/2022 12:37,97,
veranke,3/3/2022 11:01,3/3/2022 12:11,70,
kelsey leigh shorr,3/3/2022 11:01,3/3/2022 11:50,49,
marc spector,3/3/2022 11:01,3/3/2022 12:12,71,
anthony ludgate druid,3/3/2022 11:01,3/3/2022 12:12,72,
rita demara,3/3/2022 11:01,3/3/2022 12:11,71,
pietro maximoff,3/3/2022 11:01,3/3/2022 12:09,68,
heather douglas,3/3/2022 11:01,3/3/2022 12:12,72,
clinton francis barton,3/3/2022 11:01,3/3/2022 12:12,71,
jim hammond,3/3/2022 11:01,3/3/2022 12:12,71,
greer grant nelson,3/3/2022 11:02,3/3/2022 12:13,72,
dorreen green,3/3/2022 11:02,3/3/2022 11:03,1,
ashley crawford,3/3/2022 11:03,3/3/2022 11:51,49,
steven rogers,3/3/2022 11:03,3/3/2022 12:13,70,
jacques duquesne,3/3/2022 11:03,3/3/2022 12:13,70,
phillip javert,3/3/2022 11:04,3/3/2022 12:12,68,
brandt,3/3/2022 11:04,3/3/2022 12:12,68,
dorreen green,3/3/2022 11:05,3/3/2022 12:12,68,
reed richards,3/3/2022 11:05,3/3/2022 12:11,66,
monica rambeau,3/3/2022 11:05,3/3/2022 12:13,68,
scott edward harris lang,3/3/2022 11:05,3/3/2022 12:12,67,
janet van dyne,3/3/2022 11:06,3/3/2022 11:23,18,
"henry jonathan ""hank"" pym",3/3/2022 11:06,3/3/2022 12:12,66,
carol susan jane danvers,3/3/2022 11:07,3/3/2022 12:12,65,
namor mckenzie,3/3/2022 11:07,3/3/2022 12:13,66,
craig hollis,3/3/2022 11:09,3/3/2022 11:52,44,
vance astrovik,3/3/2022 11:22,3/3/2022 12:11,50,
wendell elvis vaughn,3/3/2022 11:22,3/3/2022 12:00,38,
janet van dyne,3/3/2022 11:23,3/3/2022 12:11,48,
doug taggert,3/3/2022 11:25,3/3/2022 11:58,33,
bonita juarez,3/3/2022 11:49,3/3/2022 12:03,14,
kelsey leigh shorr,3/3/2022 11:50,3/3/2022 12:12,23,
bonita juarez,3/3/2022 12:03,3/3/2022 12:11,9,
