User Name,Join time,Leave time,Duration(Minutes),Attentiveness Score
carol susan jane danvers,2/15/2022 10:47,2/15/2022 12:16,90,
maria de guadalupe santiago,2/15/2022 10:49,2/15/2022 12:16,88,
natalia alianovna romanova,2/15/2022 10:50,2/15/2022 12:16,87,
richard milhouse jones,2/15/2022 10:50,2/15/2022 11:12,23,
benjamin jacob grimm,2/15/2022 10:50,2/15/2022 12:16,87,
val ventura,2/15/2022 10:50,2/15/2022 10:53,3,
patsy walker,2/15/2022 10:51,2/15/2022 12:37,107,
eros,2/15/2022 10:51,2/15/2022 12:18,88,
james r. rhodes,2/15/2022 10:52,2/15/2022 12:16,85,
reed richards,2/15/2022 10:52,2/15/2022 12:16,84,
val ventura,2/15/2022 10:53,2/15/2022 12:16,83,
moira brandon,2/15/2022 10:54,2/15/2022 12:16,83,
gene lorrene,2/15/2022 10:54,2/15/2022 12:16,83,
steven rogers,2/15/2022 10:54,2/15/2022 12:15,82,
peter benjamin parker,2/15/2022 10:54,2/15/2022 11:33,39,
monica rambeau,2/15/2022 10:54,2/15/2022 12:17,83,
matthew liebowitz,2/15/2022 10:55,2/15/2022 12:16,82,
christopher powell,2/15/2022 10:55,2/15/2022 12:11,77,
dane whitman,2/15/2022 10:55,2/15/2022 12:16,82,
ashley crawford,2/15/2022 10:55,2/15/2022 12:37,102,
robert l. frank sr.,2/15/2022 10:55,2/15/2022 12:16,81,
heracles,2/15/2022 10:55,2/15/2022 12:16,82,
scott edward harris lang,2/15/2022 10:55,2/15/2022 12:17,82,
pietro maximoff,2/15/2022 10:55,2/15/2022 11:30,35,
rita demara,2/15/2022 10:55,2/15/2022 12:16,81,
carl lucas,2/15/2022 10:55,2/15/2022 12:15,80,
barbara barton,2/15/2022 10:56,2/15/2022 11:07,12,
miguel santos,2/15/2022 10:56,2/15/2022 12:16,81,
jennifer walters,2/15/2022 10:56,2/15/2022 12:37,101,
angelica jones,2/15/2022 10:56,2/15/2022 12:16,80,
henry p. mccoy,2/15/2022 10:56,2/15/2022 12:16,80,
walter newell,2/15/2022 10:56,2/15/2022 12:16,80,
greer grant nelson,2/15/2022 10:56,2/15/2022 12:15,79,
charlie-27,2/15/2022 10:57,2/15/2022 12:16,80,
vance astrovik,2/15/2022 10:57,2/15/2022 12:16,80,
dennis dunphy,2/15/2022 10:57,2/15/2022 12:15,79,
janet van dyne,2/15/2022 10:57,2/15/2022 11:38,41,
jim hammond,2/15/2022 10:57,2/15/2022 12:16,80,
yondu udonta,2/15/2022 10:57,2/15/2022 11:16,20,
bonita juarez,2/15/2022 10:57,2/15/2022 12:16,80,
t'challa,2/15/2022 10:57,2/15/2022 11:42,46,
namor mckenzie,2/15/2022 10:57,2/15/2022 10:59,3,
marrina smallwood,2/15/2022 10:57,2/15/2022 12:16,79,
vance astrovik,2/15/2022 10:57,2/15/2022 12:16,80,
john f. walker,2/15/2022 10:57,2/15/2022 11:37,40,
heather douglas,2/15/2022 10:57,2/15/2022 12:16,79,
kelsey leigh shorr,2/15/2022 10:58,2/15/2022 12:20,83,
ravonna lexus renslayer,2/15/2022 10:58,2/15/2022 12:16,78,
"anthony edward ""tony"" stark",2/15/2022 10:58,2/15/2022 12:16,78,
thor odinson,2/15/2022 10:58,2/15/2022 12:16,78,
demarr davis,2/15/2022 10:58,2/15/2022 12:16,78,
wade wilson,2/15/2022 10:58,2/15/2022 12:16,78,
"""giulietta nefaria""",2/15/2022 10:58,2/15/2022 12:12,74,
susan richards,2/15/2022 10:58,2/15/2022 12:16,78,
phillip javert,2/15/2022 10:59,2/15/2022 12:16,78,
julia carpenter,2/15/2022 10:59,2/15/2022 12:16,78,
craig hollis,2/15/2022 10:59,2/15/2022 12:16,78,
wendell elvis vaughn,2/15/2022 10:59,2/15/2022 12:12,73,
clinton francis barton,2/15/2022 10:59,2/15/2022 12:16,77,
martinex t'naga,2/15/2022 10:59,2/15/2022 12:16,78,
namor mckenzie,2/15/2022 10:59,2/15/2022 12:17,78,
nicholette gold,2/15/2022 10:59,2/15/2022 12:11,72,
"henry jonathan ""hank"" pym",2/15/2022 10:59,2/15/2022 12:15,76,
jocasta,2/15/2022 10:59,2/15/2022 12:16,77,
anthony ludgate druid,2/15/2022 11:00,2/15/2022 12:16,77,
jacques duquesne,2/15/2022 11:00,2/15/2022 12:17,78,
marc spector,2/15/2022 11:00,2/15/2022 12:16,77,
robert bruce banner,2/15/2022 11:00,2/15/2022 12:16,77,
circe,2/15/2022 11:00,2/15/2022 12:16,77,
veranke,2/15/2022 11:00,2/15/2022 12:16,76,
anthony edward stark,2/15/2022 11:00,2/15/2022 12:16,76,
eric kevin masterson,2/15/2022 11:01,2/15/2022 12:16,76,
greg willis,2/15/2022 11:01,2/15/2022 12:10,70,
crystal amaquelin maximoff,2/15/2022 11:01,2/15/2022 12:15,74,
eric kevin masterson,2/15/2022 11:02,2/15/2022 12:16,75,
samuel thomas wilson,2/15/2022 11:02,2/15/2022 12:16,75,
x-51,2/15/2022 11:06,2/15/2022 12:15,69,
barbara barton,2/15/2022 11:07,2/15/2022 12:16,70,
brandt,2/15/2022 11:07,2/15/2022 12:15,68,
richard milhouse jones,2/15/2022 11:12,2/15/2022 11:22,10,
richard milhouse jones,2/15/2022 11:22,2/15/2022 12:17,56,
pietro maximoff,2/15/2022 11:33,2/15/2022 12:10,38,
peter benjamin parker,2/15/2022 11:33,2/15/2022 12:06,33,
john f. walker,2/15/2022 11:37,2/15/2022 11:44,8,
janet van dyne,2/15/2022 11:38,2/15/2022 12:09,32,
john f. walker,2/15/2022 11:45,2/15/2022 12:16,32,
peter benjamin parker,2/15/2022 12:06,2/15/2022 12:16,11,
janet van dyne,2/15/2022 12:14,2/15/2022 12:16,3,
t'challa,2/15/2022 11:42,2/15/2022 12:16,35,
janet van dyne,2/15/2022 12:09,2/15/2022 12:14,5,
